place_id,name,address,lat,lng,matched_keyword
ChIJKZc3EABTRzER4Gl4cCffamc,Mỹ Châu Nails-Tóc,"Cổng làng, Trần Xá",17.3555368,106.6381045,Cổng
ChIJAUhxmetZRzERqjgRYmiSPmg,Quầy thuốc Minh Anh,Trung Trạch,17.581928,106.5370919,Cổng
ChIJvcV8UgBXRzERx1PynaYEHfg,BIA HOI GÔN CỔNG CHÀO,"655 Lý Thánh Tông, Lộc Ninh",17.5150161,106.5809317,Cổng
ChIJNVjtvcKjODERseoc99scaJM,Cổng làng văn hoá Cao cựu,"P9H9+7WC, Cao Cựu",17.7281834,106.3697546,Cổng
ChIJnVx9An1XRzERwpjUYg-yDo0,"Làm cửa sắt, cổng sắt mái tôn v.v","15 Huỳnh Thúc Kháng, Nam Sách",17.4658631,106.6036216,Cổng
ChIJ-eDsavKxQDERBB6vHBJx98k,Điểm bán sim Viettel Thanh Bình,"5QMV+Q4F, Cổng chào, Mai Thượng",17.1844737,106.7927929,Cổng
ChIJL2adlC1RRzER58Rcqb46Kt0,Lăng Thờ Cá Ông,"FJ8M+CFM, Trung Bính",17.466116,106.633658,Cổng
ChIJOUgweACZODERinJ_ap4sCrQ,Cổng chào Thôn Thu Trường,"Q995+J9G, Liên Trường",17.7688616,106.3585698,Cổng
ChIJjYv7VI-ZODERpgNSl7jFW8M,Hoa tươi Ba Đồn - Bb flower,"Cổng Đông chợ Ba Đồn, Khu phố 1, Phường",17.7555407,106.4199755,Cổng
ChIJhZRcVACrQDERP5P5Ghchj7g,Cổng sau trại Buntaphan,"7JQ2+4G7, Trường Xuân",17.2877955,106.6013013,Cổng
ChIJl9OEEkqZODERKGJtRwZeYzM,Cửa hàng Lý Động,"Cổng phía Tây chợ, Ba Đồn",17.7519006,106.4212603,Cổng
ChIJFV4V2-GZODERX1WkADPhS_A,Phòng khám Đông y Đặng Lệ Hằng,Cổng phía Tây chợ,17.7555086,106.4199727,Cổng
ChIJ68c-VSCxQDERgTo6QELibPc,Nội Thất Quang Trung,"Cổng chào thôn, Mai Thượng",17.1844856,106.7923166,Cổng
ChIJCfWX_ZSxODERGyzsnsUh_bk,Bia tưởng niệm Di tích lịch sử Quốc gia đường Hồ Chí Minh,"Cầu Trạ Ang, Hồ Chí Minh Tây, Tân Trạch",17.5191112,106.2722858,Công trình di tích
ChIJXWHMOwy7ODERzcaSQqheUKY,Di Tích Lịch Sử Bến Phà Xuân Sơn,"J874+JVF, Sơn Trạch",17.6140628,106.3071871,Công trình di tích
ChIJbXwXyf6hODER9gfUzVZHw9Y,Tượng đài chiến thắng sông Gianh,"AH1, Ba Đồn",17.7166587,106.4448272,Công trình di tích
ChIJnyZ0-dBZRzER93KoIS4S3Jo,Đồi Cát Nhân Trạch,Nhân Trạch,17.5316495,106.5944609,Công trình di tích
ChIJleNZAwC7ODERZdnTwb4OegU,Tien Son Cave,"H7HH+V9, Phong Nha",17.5796353,106.2784573,Công trình di tích
ChIJUT2iIqK_ODERzBMyOc7u3TY,Lèn Chùa Ecostay,Xuân Trạch,17.6539053,106.2597253,Công trình di tích
ChIJuXn-1SeyQDERkbMFdtQFklQ,Di tích lịch sử cấp quốc gia Chùa An Xá,"6PWW+FX7, Thôn An Xá",17.2461046,106.7474024,Công trình di tích
ChIJsRNTM6OgODERrBWJEwPqQv4,Đình làng Lý Hòa,"JGVF+538, Thượng Hòa, Ngoại Hòa",17.642911,106.522691,Công trình di tích
ChIJhZmesKu7ODERqHtG-SB5YMs,Oxalis Adventure,Phong NHA,17.6005844,106.2950967,Công trình di tích
ChIJk89RUQBXRzERid-U2ojUAU8,Đồi cát Quang Phú,"567 Trương Pháp, Quang Phú",17.5313984,106.5946224,Công trình di tích
ChIJPVdGwLFXRzERk3miTJ7VIww,Mộc Nam Adventure,"57 Trần Nguyên Hãn, Phường Hải Thành",17.4780305,106.6177329,Công trình di tích
ChIJR2z-Y8JWRzERCNxzeSpWyE4,Thánh Đường Giáo Xứ Tam Toà,"Đường Phạm Văn Đồng, Nam Sách",17.4642611,106.607047,Công trình di tích
ChIJz-thEgdXRzERDSydOIqKMpw,Khu Công Nghiệp Tây Bắc Đồng Hới,"FHPG+4VF, Đồng Phú",17.4853125,106.5771719,Công trình di tích
ChIJAVAWMimxODER7xVyWFXNLho,Hang 8 Cô,"G736+238, ĐT20, Tân Trạch",17.5025478,106.2601889,Công trình di tích
ChIJv2EfNQm7ODERiey012zeE68,Xuan Son Boat Station,"J874+3FG, ĐT20, Sơn Trạch",17.6126824,106.3062,Công trình di tích
ChIJlQbipJ1XRzERypKqfjMX_Cs,Thảo Kính Store Quảng Bình,"10 Trần Hưng Đạo, phường Đồng Phú, thành phố",17.470609,106.6212599,Công trình di tích
